company,website,linkedin,category,relevance,funding_stage,country,priority,notes
Sortium,https://sortium.com,https://linkedin.com/company/sortium,Gaming AI,Real-time 3D asset generation via prompts,Seed,US,HIGH,
Meshy,https://meshy.ai,https://linkedin.com/company/meshy-ai,Gaming AI,"3D model generation from text/images, game ready",Seed,US,HIGH,
Ponzu,https://ponzu.ai,,Gaming AI,"AI texturing for 3D assets, anime styles",Seed,US,HIGH,
Opus,https://opus.ai,https://linkedin.com/company/opus-ai,Gaming AI,Generative AI world building,Series A,US,MEDIUM,
Spline,https://spline.design,https://linkedin.com/company/splonetool,Gaming AI,3D design with AI generation,Series A,US,MEDIUM,
Roblox,https://roblox.com,https://linkedin.com/company/roblox,Gaming AI,"AI game creation tools, massive platform",Public,US,MEDIUM,
Unity,https://unity.com,https://linkedin.com/company/unity-technologies,Gaming AI,"Game engine with AI tools, Muse AI",Public,US,MEDIUM,
Epic Games,https://epicgames.com,https://linkedin.com/company/epic-games,Gaming AI,"Unreal Engine AI tools, MetaHuman",Growth,US,MEDIUM,
Didimo,https://didimo.co,https://linkedin.com/company/didimo,Gaming AI,AI digital human creation for games,Series A,US,MEDIUM,
Cartwheel,https://cartwheel.com,https://linkedin.com/company/cartwheel-ai,Animation AI,"3D character animation, Pixar/DreamWorks users",Seed ($15.6M),US,HIGH,
Cheehoo,https://cheehoo.ai,https://linkedin.com/company/cheehoo-ai,Animation AI,Animation AI from ex-DreamWorks/Rideback team,Seed ($10M),US,HIGH,
Animation Inc.,https://animation.inc,https://linkedin.com/company/animation-inc,Animation AI,"Real-time generative animation, ex-Meta team",Seed,US,HIGH,
Wonder Dynamics,https://wonderdynamics.com,https://linkedin.com/company/wonder-dynamics,Animation AI,AI-powered VFX and character animation,Acquired by Autodesk,US,MEDIUM,
DeepMotion,https://deepmotion.com,https://linkedin.com/company/deepmotion,Animation AI,AI body tracking and animation,Series A,US,MEDIUM,
RADiCAL,https://radical.app,https://linkedin.com/company/radical-motion,Animation AI,AI motion capture from video,Seed,US,MEDIUM,
Move AI,https://move.ai,https://linkedin.com/company/move-ai,Animation AI,Markerless motion capture AI,Series A,US,MEDIUM,
Plask,https://plask.ai,https://linkedin.com/company/plask-ai,Animation AI,"AI motion capture from video, anime/game animation",Series A,South Korea,HIGH,LEGENDARY FIT - Korea is anime/gaming hub
Cascadeur,https://cascadeur.com,https://linkedin.com/company/cascadeur,Animation AI,AI-assisted animation for games,Seed,US,MEDIUM,
Rokoko,https://rokoko.com,https://linkedin.com/company/rokoko-electronics,Animation AI,"Motion capture with AI, Vision for video mocap",Series A,US,MEDIUM,HQ moved to US
Character.AI,https://character.ai,https://linkedin.com/company/character-ai,Character AI,AI characters - massive anime character community,Series A ($150M),US,HIGH,LEGENDARY FIT - Anime characters are huge on platform
Lemon Slice,https://lemonslice.ai,https://linkedin.com/company/lemon-slice-ai,Character AI,"Real-time AI avatars, $10.5M from YC/Matrix",Seed,US,HIGH,
AvatarOS,https://avataros.ai,https://linkedin.com/company/avataros,Character AI,"Virtual influencer platform, Lil Miquela creator",Seed ($7M),US,HIGH,
Hologram Labs,https://hologramlabs.com,https://linkedin.com/company/hologram-labs,Character AI,AI for vtubers and digital celebrities,Series A,US,HIGH,LEGENDARY FIT - VTuber is anime culture
Genies,https://genies.com,https://linkedin.com/company/genaborhood,Character AI,"AI avatar creation, celebrity partnerships",Series C,US,MEDIUM,
Ready Player Me,https://readyplayer.me,https://linkedin.com/company/wolf3d,Character AI,"Cross-game avatar platform, 9000+ apps",Series B,US,MEDIUM,US operations
IMVU,https://imvu.com,https://linkedin.com/company/imvu,Character AI,"Avatar social platform, anime styles popular",Growth,US,MEDIUM,
Krikey AI,https://krikey.ai,https://linkedin.com/company/krikey,Character AI,AI avatar animation from text,Seed,US,MEDIUM,
Pinscreen,https://pinscreen.com,https://linkedin.com/company/pinscreen,Character AI,AI avatars and digital humans,Series A,US,MEDIUM,
Brud,https://bfrnd.world,https://linkedin.com/company/brud,Character AI,Virtual characters/influencers (Lil Miquela),Series B,US,HIGH,
Hour One,https://hourone.ai,https://linkedin.com/company/hourone,Character AI,AI video avatars and presenters,Series A,US,MEDIUM,
Colossyan,https://colossyan.com,https://linkedin.com/company/colossyan,Character AI,AI video avatars for enterprise,Series A,US,MEDIUM,
ElevenLabs,https://elevenlabs.io,https://linkedin.com/company/elevenlabsio,Voice AI,"Voice synthesis, dubbing - anime dubbing use case",Series C ($180M),US,HIGH,
Resemble AI,https://resemble.ai,https://linkedin.com/company/resembleai,Voice AI,Voice cloning for games and content,Series A,US,HIGH,
Replica Studios,https://replicastudios.com,https://linkedin.com/company/replica-studios,Voice AI,"AI voices specifically for games, Unity/Unreal plugins",Series A,Australia,HIGH,LEGENDARY FIT - Game voice focus
Suno,https://suno.ai,https://linkedin.com/company/suno-ai,Voice AI,"AI music generation, game/anime soundtracks potential",Series B ($125M),US,HIGH,
Udio,https://udio.com,https://linkedin.com/company/udio-ai,Voice AI,AI music generation,Seed,US,HIGH,
WellSaid Labs,https://wellsaidlabs.com,https://linkedin.com/company/wellsaid-labs,Voice AI,Enterprise AI voice platform,Series B,US,MEDIUM,
Murf AI,https://murf.ai,https://linkedin.com/company/murf-ai,Voice AI,Text-to-speech for creators,Series A,US,MEDIUM,
Play.ht,https://play.ht,https://linkedin.com/company/play-ht,Voice AI,AI voice generation platform,Seed,US,MEDIUM,
Scale AI,https://scale.com,https://linkedin.com/company/scale-ai,Training Data,"Training data platform, $7.3B valuation",Series E,US,HIGH,Could be partner or competitor
Labelbox,https://labelbox.com,https://linkedin.com/company/labelbox,Training Data,Data labeling platform,Series D,US,MEDIUM,
Gretel AI,https://gretel.ai,https://linkedin.com/company/gretel-ai,Training Data,Synthetic data generation,Series B ($65M),US,MEDIUM,
Synthesis AI,https://synthesis.ai,https://linkedin.com/company/synthesisai,Training Data,Synthetic data for computer vision - face/body data,Series B ($30M),US,HIGH,
Parallel Domain,https://paralleldomain.com,https://linkedin.com/company/parallel-domain,Training Data,Synthetic data for perception AI,Series A ($22.5M),US,MEDIUM,
Surge AI,https://surgehq.ai,https://linkedin.com/company/surge-ai,Training Data,High-quality AI training data,Series A,US,MEDIUM,
Sama,https://sama.com,https://linkedin.com/company/sama,Training Data,AI training data annotation,Series C,US,MEDIUM,
Defined.ai,https://defined.ai,https://linkedin.com/company/defined-ai,Training Data,AI data marketplace,Series B,US,HIGH,Potential distribution partner
Roboflow,https://roboflow.com,https://linkedin.com/company/roboflow-ai,Training Data,Computer vision data and training,Series A,US,MEDIUM,
V7 Labs,https://v7labs.com,https://linkedin.com/company/v7labs,Training Data,AI training data platform,Series A,US,MEDIUM,
Luma Labs,https://lumalabs.ai,https://linkedin.com/company/luma-ai,Creative Tools,"3D capture and generation, Genie 3D model",Series B,US,HIGH,
Topaz Labs,https://topazlabs.com,https://linkedin.com/company/topaz-labs,Creative Tools,"AI image/video enhancement, anime upscaling popular",Bootstrapped,US,MEDIUM,
Magnific AI,https://magnific.ai,https://linkedin.com/company/magnific-ai,Creative Tools,AI image upscaling - massive anime community use,Seed,US,HIGH,Strong anime user base
Anthropic,https://anthropic.com,https://linkedin.com/company/anthropic,Creative Tools,"Claude - multimodal, could expand to image training",Series C+,US,MEDIUM,
Together AI,https://together.ai,https://linkedin.com/company/together-ai,Creative Tools,"Model hosting and fine-tuning, custom training",Series A,US,MEDIUM,
Hugging Face,https://huggingface.co,https://linkedin.com/company/huggingface,Creative Tools,"Model hub, datasets - anime models popular",Series D,US,MEDIUM,
Mage.Space,https://mage.space,https://linkedin.com/company/mage-space,Image Generation,"Free AI art generator, anime models available",Seed,US,HIGH,
Hotpot.ai,https://hotpot.ai,https://linkedin.com/company/hotpot-ai,Image Generation,"AI art tools, anime art generator",Seed,US,MEDIUM,
Neverai,https://never.ai,https://linkedin.com/company/neverai,Image Generation,AI art platform with anime focus,Seed,US,HIGH,
Esports Engine,https://esportsengine.com,https://linkedin.com/company/esports-engine,Gaming AI,"Esports production and tech, AI tools",Series A,US,HIGH,Direct esports connection
Blitz.gg,https://blitz.gg,https://linkedin.com/company/blitz-esports,Gaming AI,"Esports AI assistant, League of Legends focus",Series A,US,HIGH,Direct esports connection
Mobalytics,https://mobalytics.gg,https://linkedin.com/company/mobalytics,Gaming AI,"Gaming AI analytics, esports coaching",Series A,US,HIGH,Direct esports connection
Fable Studio,https://fable-studio.com,https://linkedin.com/company/fable-studio,Character AI,"AI virtual beings, interactive characters",Series A,US,HIGH,
Wonder Dynamics,https://wonderdynamics.com,https://linkedin.com/company/wonder-dynamics,Creative Tools,Wonder Studio - AI VFX for character replacement,Acquired by Autodesk,US,MEDIUM,
Flawless AI,https://flawlessai.com,https://linkedin.com/company/flawless-ai,Video Generation,"AI for film/video, facial performance",Series A,US,MEDIUM,
Metaphysic,https://metaphysic.ai,https://linkedin.com/company/metaphysic-ai,Video Generation,AI face/body generation for video,Series A,US,MEDIUM,
